ca,blue,green,red,nir,swir1,swir2,VI,NDVI,TVI,DOY,AQI
0.2063,0.206,0.2086,0.2093,0.2784,0.2407,0.1811,0.0691,0.141685462,0.801052721,223,5
0.206,0.2057,0.2081,0.2084,0.278,0.2407,0.1792,0.0696,0.143092105,0.801930237,223,5
0.1216,0.1309,0.1164,0.1065,0.295,0.3788,0.3156,0.1885,0.469489415,0.984626536,127,7
0.1349,0.1404,0.1212,0.1096,0.2929,0.3712,0.2978,0.1833,0.455403727,0.977447557,127,7
0.2786,0.2781,0.2675,0.2605,0.3789,0.3102,0.2304,0.1184,0.1851736,0.827752137,239,7
0.2781,0.2774,0.2671,0.2596,0.3784,0.3094,0.227,0.1188,0.186206897,0.82837606,239,7
0.0952,0.1018,0.0768,0.0645,0.2173,0.3522,0.3383,0.1528,0.542228531,1.020895945,300,8
0.1096,0.113,0.0825,0.0696,0.2187,0.3555,0.3352,0.1491,0.517169615,1.008548271,300,8
0.2196,0.222,0.223,0.2238,0.2994,0.2506,0.1914,0.0756,0.144495413,0.802804717,223,8
0.2193,0.2216,0.2226,0.2227,0.2992,0.2507,0.1896,0.0765,0.146579805,0.804101862,223,8
0.0345,0.0448,0.0704,0.0673,0.2597,0.1821,0.0987,0.1924,0.588379205,1.043254142,316,8
0.3275,0.3455,0.354,0.3617,0.4494,0.4111,0.3014,0.0877,0.108124769,0.77982355,143,9
0.3352,0.3527,0.3622,0.3706,0.4575,0.4178,0.3009,0.0869,0.104939017,0.777778257,143,9
0.3803,0.3834,0.3821,0.3793,0.4479,0.3334,0.233,0.0686,0.082930368,0.763498767,239,9
0.38,0.383,0.3814,0.3779,0.4473,0.3331,0.2301,0.0694,0.084100824,0.764264891,239,9
0.0635,0.0752,0.1164,0.1069,0.2501,0.1829,0.1277,0.1432,0.401120448,0.949273642,255,9
0.0785,0.0855,0.1193,0.1082,0.2513,0.1821,0.1222,0.1431,0.398052851,0.947656505,255,9
0.0306,0.0404,0.0602,0.0585,0.2225,0.1647,0.0958,0.164,0.583629893,1.040975453,300,9
0.0317,0.0407,0.0611,0.0521,0.1463,0.1066,0.0732,0.0942,0.474798387,0.987318787,95,9
0.3316,0.3288,0.3394,0.3355,0.4083,0.307,0.2156,0.0728,0.097875773,0.773224271,239,10
0.3315,0.3288,0.3392,0.3345,0.4079,0.3067,0.2129,0.0734,0.098868534,0.773865967,239,10
0.3348,0.3333,0.3289,0.3258,0.3883,0.2574,0.1677,0.0625,0.087522756,0.76650033,239,10
0.335,0.3335,0.3287,0.3251,0.3882,0.2575,0.1656,0.0631,0.088462078,0.767112819,239,10
0.1729,0.186,0.1856,0.1895,0.26,0.2288,0.1613,0.0705,0.156840934,0.810457238,143,10
0.1771,0.1876,0.1838,0.1878,0.2541,0.2201,0.1566,0.0663,0.150033944,0.806246826,143,10
0.1797,0.178,0.183,0.1769,0.3,0.1975,0.1414,0.1231,0.258125393,0.870703964,223,10
0.0371,0.0449,0.0799,0.0735,0.2862,0.207,0.1241,0.2127,0.591326105,1.044665547,255,10
0.173,0.1728,0.1704,0.172,0.211,0.1985,0.1498,0.039,0.101827676,0.775775532,316,11
0.1664,0.1678,0.1669,0.1666,0.2086,0.1971,0.1496,0.042,0.111940299,0.78226613,316,11
0.2578,0.2588,0.2626,0.257,0.3561,0.2211,0.1337,0.0991,0.16163758,0.813411077,239,11
0.0187,0.0298,0.0478,0.0371,0.2545,0.1368,0.0731,0.2174,0.745541838,1.116038457,255,11
0.0146,0.0265,0.0461,0.0363,0.2497,0.1367,0.0711,0.2134,0.746153846,1.116312611,255,11
0.7108,0.7298,0.7509,0.7734,0.8046,0.6773,0.5337,0.0312,0.019771863,0.720952053,332,12
0.7125,0.7311,0.7495,0.7689,0.8039,0.6764,0.522,0.035,0.022253306,0.722670953,332,12
0.4529,0.4603,0.4713,0.4793,0.5678,0.4721,0.3611,0.0885,0.084519148,0.76453852,239,12
0.4543,0.4622,0.4723,0.4793,0.5689,0.4728,0.3576,0.0896,0.08547987,0.765166564,239,12
0.2242,0.2316,0.2633,0.2761,0.3826,0.4146,0.3117,0.1065,0.161682101,0.813438443,95,12
0.2033,0.2195,0.2593,0.2743,0.3851,0.4145,0.3097,0.1108,0.168031544,0.817331967,95,12
0.16,0.1627,0.1041,0.0868,0.3171,0.4498,0.3933,0.2303,0.570190641,1.034500189,255,13
0.1684,0.1696,0.1078,0.0902,0.3179,0.4555,0.385,0.2277,0.557951482,1.028567685,255,13
0.3535,0.3584,0.3579,0.3602,0.4239,0.3647,0.3038,0.0637,0.081239638,0.762390738,159,13
0.3545,0.3597,0.3586,0.3607,0.4246,0.3649,0.3034,0.0639,0.081370177,0.762476345,159,13
0.0813,0.0933,0.1233,0.1275,0.2374,0.2819,0.2428,0.1099,0.301178405,0.895085697,255,13
