,ca,blue,green,red,nir,swir1,swir2,VI,NDVI,TVI,DOY,label,AQI
238,0.0634,0.0696,0.0797,0.0581,0.0491,0.0318,0.0256,-0.009,-0.083955224,0.64501533,47,1,21
886,0.1258,0.1325,0.1292,0.111,0.1652,0.2142,0.2049,0.0542,0.196234613,0.834406743,34,4,112
874,0.1044,0.1113,0.1232,0.1053,0.0955,0.0527,0.0395,-0.0098,-0.048804781,0.671710666,34,4,104
831,0.09,0.089,0.0913,0.0999,0.2138,0.2287,0.174,0.1139,0.363085751,0.929024085,351,3,84
531,0.0656,0.0804,0.1168,0.1252,0.3185,0.2847,0.1803,0.1933,0.435654722,0.96729247,127,2,32
222,0.0651,0.0817,0.1091,0.1172,0.1952,0.1857,0.1588,0.078,0.249679898,0.865840573,335,1,21
412,0.1628,0.1943,0.2033,0.2215,0.3075,0.3738,0.2953,0.086,0.162570888,0.813984575,127,2,26
309,0.0681,0.0823,0.1095,0.1194,0.1939,0.1821,0.1505,0.0745,0.237791254,0.85894776,303,1,23
932,0.5904,0.6077,0.5998,0.6201,0.6649,0.5205,0.3919,0.0448,0.034863813,0.731343841,15,4,142
153,0.043,0.0528,0.0994,0.0699,0.4206,0.21,0.108,0.3507,0.714984709,1.102263448,287,1,19
143,0.4577,0.4621,0.4622,0.4668,0.5081,0.4783,0.4111,0.0413,0.042363319,0.736453202,332,1,19
759,0.6016,0.6266,0.63,0.6491,0.6849,0.5213,0.3903,0.0358,0.026836582,0.725835093,284,3,59
597,0.0257,0.0378,0.0475,0.0416,0.1449,0.1102,0.0752,0.1033,0.553887399,1.026590181,255,2,36
912,0.5678,0.5752,0.5575,0.5633,0.588,0.4184,0.2863,0.0247,0.021454009,0.722117725,15,4,124
162,0.0474,0.0558,0.0761,0.064,0.0572,0.0489,0.0412,-0.0068,-0.056105611,0.666253998,348,1,19
813,0.5249,0.533,0.5759,0.586,0.6369,0.5482,0.4064,0.0509,0.041622373,0.73594998,335,3,75
559,0.0419,0.0538,0.0815,0.0892,0.1766,0.1579,0.11,0.0874,0.328818661,0.910394783,351,2,33
18,0.0317,0.0407,0.0611,0.0521,0.1463,0.1066,0.0732,0.0942,0.474798387,0.987318787,95,1,9
51,0.0534,0.0664,0.0888,0.0947,0.2369,0.2263,0.1832,0.1422,0.428829916,0.963758225,255,1,14
814,0.0748,0.0918,0.1164,0.1158,0.1789,0.1734,0.138,0.0631,0.21411605,0.845053874,50,3,75
369,0.0541,0.06,0.0718,0.0785,0.1324,0.1361,0.1003,0.0539,0.255571361,0.869236079,316,1,24
642,0.128,0.1341,0.1074,0.0944,0.2596,0.3923,0.356,0.1652,0.466666667,0.98319208,271,2,41
931,0.5914,0.6086,0.6055,0.6291,0.6689,0.527,0.409,0.0398,0.030662558,0.728465893,15,4,142
257,0.1052,0.1227,0.1436,0.1496,0.2945,0.2698,0.2088,0.1449,0.326277865,0.908998276,79,1,22
844,0.1127,0.1153,0.1278,0.118,0.1944,0.1625,0.1069,0.0764,0.244558259,0.862877893,18,3,90
435,0.1174,0.1219,0.1399,0.1396,0.2215,0.1682,0.121,0.0819,0.226806979,0.852529752,319,2,26
148,0.0468,0.0589,0.0887,0.0773,0.3205,0.2195,0.1205,0.2432,0.611362494,1.054211788,255,1,19
382,0.2212,0.2264,0.2211,0.2192,0.2833,0.253,0.2049,0.0641,0.127562189,0.792188228,159,1,25
294,0.393,0.3942,0.4003,0.3997,0.4684,0.3677,0.2815,0.0687,0.079138348,0.761011398,159,1,23
60,0.0707,0.0819,0.1033,0.104,0.1672,0.1961,0.1646,0.0632,0.233038348,0.856176587,143,1,15
562,0.3037,0.3273,0.34,0.3672,0.4658,0.4763,0.3838,0.0986,0.118367347,0.786363368,79,2,34
747,0.0739,0.086,0.1058,0.1101,0.1902,0.2157,0.1812,0.0801,0.266733267,0.875633066,50,3,56
347,0.0662,0.0688,0.0862,0.0886,0.203,0.2031,0.1537,0.1144,0.392318244,0.944625981,303,1,24
646,0.091,0.0985,0.1216,0.1261,0.2172,0.2466,0.1911,0.0911,0.265365569,0.874851741,47,2,41
626,0.1937,0.2031,0.236,0.2502,0.3145,0.3321,0.2493,0.0643,0.113865769,0.783495864,111,2,39
769,0.0315,0.042,0.0736,0.0691,0.2109,0.1543,0.1053,0.1418,0.506428571,1.003209136,351,3,60
203,0.2862,0.2857,0.2927,0.2909,0.3497,0.2936,0.24,0.0588,0.091788948,0.769278199,159,1,21
753,0.0791,0.0899,0.1073,0.1147,0.1843,0.2162,0.1838,0.0696,0.23277592,0.856023317,351,3,58
235,0.0738,0.0769,0.0789,0.0608,0.2378,0.1079,0.0612,0.177,0.592766242,1.045354601,300,1,21
301,0.0921,0.111,0.1337,0.1398,0.2494,0.2825,0.2274,0.1096,0.281603289,0.884083304,316,1,23
762,0.1039,0.1155,0.124,0.1273,0.2434,0.2196,0.1427,0.1161,0.31319126,0.901771179,95,3,59
130,0.1019,0.1022,0.1482,0.1498,0.1985,0.1901,0.1537,0.0487,0.139821993,0.799888738,335,1,18
574,0.6497,0.6629,0.6718,0.6871,0.7176,0.5462,0.3867,0.0305,0.021712821,0.722296907,332,2,35
876,0.6795,0.6852,0.6857,0.6966,0.7159,0.4367,0.2869,0.0193,0.013663717,0.716703367,15,4,106
829,0.0349,0.0461,0.074,0.0715,0.1932,0.1642,0.1208,0.1217,0.459765773,0.979676361,351,3,82
266,0.0557,0.0651,0.097,0.1003,0.3655,0.328,0.1677,0.2652,0.569343066,1.034090453,335,1,22
103,0.0735,0.0827,0.1078,0.1119,0.2217,0.2246,0.1802,0.1098,0.329136691,0.910569432,95,1,17
839,0.0389,0.0557,0.0748,0.0807,0.1365,0.1167,0.0821,0.0558,0.256906077,0.870003493,351,3,89
907,0.3167,0.3272,0.3524,0.3678,0.4508,0.4753,0.3871,0.083,0.101392622,0.775495082,18,4,122
32,0.7108,0.7298,0.7509,0.7734,0.8046,0.6773,0.5337,0.0312,0.019771863,0.720952053,332,1,12
578,0.1176,0.119,0.1152,0.0997,0.2156,0.28,0.2256,0.1159,0.367586426,0.931443195,47,2,35
175,0.0931,0.1085,0.1364,0.1316,0.2437,0.1645,0.1204,0.1121,0.298694378,0.893697028,287,1,20
63,0.2106,0.213,0.2088,0.2053,0.275,0.1916,0.1551,0.0697,0.145117635,0.803192153,175,1,15
812,0.1163,0.1219,0.1349,0.122,0.1549,0.0843,0.0498,0.0329,0.118815457,0.786648242,18,3,73
414,0.2031,0.2084,0.2235,0.2274,0.3709,0.3364,0.2322,0.1435,0.239846231,0.860143146,63,2,26
122,0.4008,0.4101,0.4295,0.4305,0.4777,0.404,0.3347,0.0472,0.051970932,0.742947462,303,1,18
